Timestamp;TestCase;Algorithm;Seed;Unused;Total Duration[ms];Avg priority;Roads Count;Total requests;Throughput;Avg distance;Avg time;Roads to MVC Count;Roads to storage Count;Roads escape Count;Avg to MVC distance;Avg to storage distance;Avg escape distance;Avg to MVC time;Avg to storage time;Avg escape time
Tue Sep 11 14:14:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Tue Sep 11 14:23:12 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Tue Sep 11 15:31:46 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 02:09:03 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 04:11:16 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 07:31:34 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 14:00:28 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 14:02:29 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 14:03:55 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 14:04:37 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 14:22:11 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 19:13:11 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Wed Sep 12 19:36:06 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Fri Sep 14 03:25:13 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Fri Sep 14 03:35:42 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Fri Sep 14 03:48:27 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Fri Sep 14 03:56:37 EDT 2012;RouteChooseTest_UserDef;RealizerVer2;111;;0;0.0;0;0;NaN;0.0;0.0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0
Fri Sep 14 08:56:24 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;78600;0.0;82;15;0.19083969465648856;2779.268292682927;3693.9024390243903;15;15;52;9560.0;3473.3333333333335;623.0769230769231;12560.0;5473.333333333333;623.0769230769231
Fri Sep 14 09:09:07 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;78600;0.0;82;15;0.19083969465648856;2779.268292682927;3693.9024390243903;15;15;52;9560.0;3473.3333333333335;623.0769230769231;12560.0;5473.333333333333;623.0769230769231
Sun Sep 16 08:06:26 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;14600;0.0;2;1;0.0684931506849315;4800.0;7300.0;1;1;0;6700.0;2900.0;0.0;9700.0;4900.0;0.0
Sun Sep 16 08:36:14 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;14600;0.0;2;1;0.0684931506849315;4800.0;7300.0;1;1;0;6700.0;2900.0;0.0;9700.0;4900.0;0.0
Sun Sep 16 09:40:52 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;14600;0.0;2;1;0.0684931506849315;4800.0;7300.0;1;1;0;6700.0;2900.0;0.0;9700.0;4900.0;0.0
Sun Sep 16 13:51:23 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;2000;0.0;1;1;0.5;NaN;2000.0;0;1;0;0.0;NaN;0.0;0.0;2000.0;0.0
Sun Sep 16 14:42:31 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;20347;0.0;1;1;0.049147294441440996;NaN;20347.0;0;1;0;0.0;NaN;0.0;0.0;20347.0;0.0
Sun Sep 16 15:09:59 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;20347;0.0;1;1;0.049147294441440996;0.0;20347.0;0;1;0;0.0;0.0;0.0;0.0;20347.0;0.0
Sun Sep 16 15:29:45 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;20347;0.0;1;1;0.049147294441440996;23.0;20347.0;0;1;0;0.0;23.0;0.0;0.0;20347.0;0.0
Sun Sep 16 15:34:04 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;20347;0.0;1;1;0.049147294441440996;2300.0;20347.0;0;1;0;0.0;2300.0;0.0;0.0;20347.0;0.0
Sun Sep 16 15:49:46 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;20347;0.0;1;1;0.049147294441440996;NaN;20347.0;0;1;0;0.0;NaN;0.0;0.0;20347.0;0.0
Sun Sep 16 17:28:20 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;21259;0.0;1;1;0.04703890117126864;2800.0;20980.0;0;1;0;0.0;2800.0;0.0;0.0;20980.0;0.0
Sun Sep 16 17:36:30 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;23259;0.0;1;1;0.04299410980695645;2800.0;22980.0;0;1;0;0.0;2800.0;0.0;0.0;22980.0;0.0
Sun Sep 16 17:47:55 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;75487;0.0;2;1;0.013247314107064792;4650.0;37266.5;1;1;0;6500.0;2800.0;0.0;51553.0;22980.0;0.0
Mon Sep 17 02:09:36 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;75487;0.0;2;1;0.013247314107064792;4650.0;37266.5;1;1;0;6500.0;2800.0;0.0;51553.0;22980.0;0.0
Mon Sep 17 02:13:59 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;75487;0.0;2;1;0.013247314107064792;4650.0;37266.5;1;1;0;6500.0;2800.0;0.0;51553.0;22980.0;0.0
Mon Sep 17 04:18:12 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;75487;0.0;2;1;0.013247314107064792;4650.0;2500.0;1;1;0;6500.0;2800.0;0.0;3000.0;2000.0;0.0
Mon Sep 17 04:36:23 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;76162;0.0;2;1;0.013129907302854443;4800.0;2500.0;1;1;0;6700.0;2900.0;0.0;3000.0;2000.0;0.0
Mon Sep 17 04:51:00 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;76162;0.0;2;1;0.013129907302854443;4800.0;38081.0;1;1;0;6700.0;2900.0;0.0;52903.0;23259.0;0.0
Mon Sep 17 05:21:29 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;50516;0.0;2;1;0.01979570829044263;4800.0;25258.0;1;1;0;6700.0;2900.0;0.0;28019.0;22497.0;0.0
Mon Sep 17 05:59:13 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;50516;0.0;5;2;0.03959141658088526;3140.0;16201.4;2;2;1;5900.0;1850.0;200.0;23369.0;17034.5;200.0
Mon Sep 17 06:15:52 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;55888;0.0;10;3;0.053678786143716004;3590.0;14357.5;3;3;4;8133.333333333333;2166.6666666666665;1250.0;25694.0;19371.0;2095.0
Mon Sep 17 06:43:57 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;12;;57066;0.0;11;3;0.05257070760172432;3681.818181818182;13202.09090909091;3;3;5;10333.333333333334;2800.0;220.0;28044.0;19486.0;526.6
Mon Sep 17 06:51:08 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;12;;113279;0.0;28;7;0.06179433081153612;3160.714285714286;11831.035714285714;7;7;14;7785.714285714285;3442.8571428571427;707.1428571428571;25276.14285714286;19186.714285714286;1430.642857142857
Mon Sep 17 07:25:34 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;12;;103742;0.0;41;8;0.0771143799039926;3031.7073170731705;9468.853658536585;8;8;25;7912.5;4337.5;1052.0;24424.375;17570.625;2090.52
Mon Sep 17 07:33:30 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;12;;53246;0.0;2;1;0.018780753483829772;3100.0;26623.0;1;1;0;5000.0;1200.0;0.0;37346.0;15900.0;0.0
Mon Sep 17 08:44:51 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;12;;41788;0.0;2;1;0.023930314922944385;900.0;20894.0;1;1;0;1000.0;800.0;0.0;24568.0;17220.0;0.0;0
Mon Sep 17 09:10:26 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;48952;0.0;2;1;0.020428174538323254;2600.0;24476.0;1;1;0;2700.0;2500.0;0.0;25519.0;23433.0;0.0;0
Mon Sep 17 09:14:39 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;50516;0.0;2;1;0.01979570829044263;4800.0;25258.0;1;1;0;6700.0;2900.0;0.0;28019.0;22497.0;0.0;0
Mon Sep 17 09:16:18 EDT 2012;RouteChooseTest_UserDef;RealizerVer3;123;;48952;0.0;2;1;0.020428174538323254;2600.0;24476.0;1;1;0;2700.0;2500.0;0.0;25519.0;23433.0;0.0;0
