Timestamp;TestCase;Algorithm;Seed;Unused;Total Duration[ms];Avg priority;Roads Count;Total requests;Throughput;Avg distance;Avg time;Roads to MVC Count;Roads to storage Count;Roads escape Count;Avg to MVC distance;Avg to storage distance;Avg escape distance;Avg to MVC time;Avg to storage time;Avg escape time
Sun Sep 02 09:44:40 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 09:53:10 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 09:55:16 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:39:35 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:40:06 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:42:44 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:43:50 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 10:45:43 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:00:38 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:08:45 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 13:15:48 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 14:12:14 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Sun Sep 02 14:38:04 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;47700;0.64452625214285;57;10;0.20964360587002095;2189.4736842105262;3066.6666666666665;10;10;37;5830.0;2840.0;1029.7297297297298;8830.0;4840.0;1029.7297297297298
Mon Sep 03 02:16:51 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;9100;0.5741294713139589;2;1;0.10989010989010989;2050.0;4550.0;1;1;0;2800.0;1300.0;0.0;5800.0;3300.0;0.0
Mon Sep 03 02:58:09 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;20300;0.395377521097811;4;2;0.09852216748768473;2575.0;5075.0;2;2;0;2950.0;2200.0;0.0;5950.0;4200.0;0.0
Mon Sep 03 03:00:21 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;41500;0.4300295436557615;15;5;0.12048192771084337;2853.3333333333335;4520.0;5;5;5;4040.0;3980.0;540.0;7040.0;5980.0;540.0
Mon Sep 03 04:31:39 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;39300;0.5667391222867271;46;8;0.2035623409669211;2204.3478260869565;3073.913043478261;8;8;30;5475.0;3137.5;1083.3333333333333;8475.0;5137.5;1083.3333333333333
Mon Sep 03 04:33:41 EDT 2012;RouteChooseTest_UserDef;RealizerVer1;123;;37200;0.5339852376947618;41;8;0.21505376344086022;2265.8536585365855;3241.4634146341464;8;8;25;6537.5;4087.5;316.0;9537.5;6087.5;316.0
